"y" "coord.X" "coord.Y" "offset"
"1" 75 -6050 -3270 300
"2" 371 -6050 -3165 300
"3" 1931 -5925 -3320 300
"4" 4357 -5925 -3165 300
"5" 2114 -5800 -3350 300
"6" 2318 -5800 -3165 300
"7" 1975 -5625 -3350 300
"8" 1912 -5700 -3260 300
"9" 1902 -5700 -3220 300
"10" 1882 -5700 -3180 300
"11" 3017 -5700 -3140 300
"12" 6570 -5700 -3100 600
"13" 2616 -5660 -3260 300
"14" 2275 -5660 -3220 300
"15" 2432 -5660 -3180 300
"16" 2754 -5660 -3140 300
"17" 3452 -5660 -3100 300
"18" 1726 -5620 -3260 400
"19" 2118 -5620 -3220 300
"20" 2269 -5620 -3180 300
"21" 4629 -5620 -3140 400
"22" 1840 -5620 -3100 300
"23" 2691 -5580 -3260 360
"24" 4084 -5580 -3220 300
"25" 2187 -5580 -3180 400
"26" 4531 -5580 -3140 300
"27" 2022 -5580 -3100 300
"28" 1822 -5540 -3260 300
"29" 2800 -5540 -3220 300
"30" 2722 -5540 -3180 300
"31" 4083 -5540 -3140 300
"32" 1650 -5540 -3100 400
"33" 2890 -5450 -3350 300
"34" 2776 -5450 -3165 300
"35" 2525 -5330 -3430 300
"36" 3580 -5330 -3390 300
"37" 2960 -5330 -3350 300
"38" 3100 -5330 -3310 300
"39" 3611 -5330 -3270 300
"40" 1813 -5290 -3430 200
"41" 2560 -5290 -3390 300
"42" 3733 -5290 -3350 300
"43" 2273 -5290 -3310 300
"44" 3437 -5290 -3270 300
"45" 2603 -5250 -3430 300
"46" 2148 -5250 -3390 200
"47" 5636 -5250 -3350 600
"48" 3050 -5250 -3310 300
"49" 3287 -5250 -3270 300
"50" 2603 -5210 -3430 300
"51" 4044 -5210 -3390 300
"52" 2560 -5210 -3350 300
"53" 3019 -5210 -3310 300
"54" 2407 -5210 -3270 300
"55" 2735 -5170 -3430 200
"56" 3020 -5170 -3390 300
"57" 2215 -5170 -3350 300
"58" 3414 -5170 -3310 300
"59" 1688 -5170 -3270 300
"60" 3447 -5050 -3300 300
"61" 1091 -5050 -3165 300
"62" 3279 -4900 -3200 300
"63" 3101 -4900 -3100 300
"64" 2370 -4700 -3025 300
"65" 2902 -4500 -3000 300
"66" 1401 -4500 -2920 300
"67" 892 -4300 -2860 300
"68" 1872 -4100 -2710 300
"69" 2610 -3900 -2660 300
"70" 3548 -3700 -2560 300
"71" 2652 -3500 -2510 300
"72" 2625 -3300 -2460 300
"73" 2314 -3100 -2440 300
"74" 2148 -2900 -2410 300
"75" 2574 -2700 -2360 300
"76" 2838 -2500 -2310 300
"77" 2888 -2300 -2260 300
"78" 1983 -2100 -2210 300
"79" 1945 -1900 -2160 300
"80" 1255 -1700 -2110 300
"81" 3296 -1500 -2080 300
"82" 1552 -1300 -2100 300
"83" 2542 -1200 -2000 300
"84" 1705 -1000 -2120 300
"85" 2249 -1000 -2000 300
"86" 690 -800 -2150 300
"87" 1767 -800 -2000 300
"88" 1577 -800 -1800 300
"89" 2581 -680 -1880 300
"90" 3083 -680 -1840 300
"91" 4780 -680 -1800 600
"92" 7021 -680 -1760 600
"93" 4025 -680 -1720 600
"94" 2310 -640 -1880 300
"95" 2605 -640 -1840 300
"96" 3925 -640 -1800 600
"97" 4557 -640 -1760 600
"98" 3423 -640 -1720 600
"99" 929 -600 -2200 300
"100" 2811 -600 -2000 300
"101" 1464 -600 -1880 300
"102" 2467 -600 -1840 300
"103" 5815 -600 -1800 900
"104" 3540 -600 -1760 600
"105" 6463 -600 -1720 600
"106" 1688 -560 -1880 300
"107" 1864 -560 -1840 300
"108" 3805 -560 -1800 600
"109" 3230 -560 -1760 600
"110" 2875 -560 -1720 600
"111" 678 -530 -1600 300
"112" 2381 -520 -1880 300
"113" 2075 -520 -1840 300
"114" 3512 -520 -1800 600
"115" 3668 -520 -1760 600
"116" 3424 -520 -1720 600
"117" 2865 -480 -1480 400
"118" 2363 -480 -1440 400
"119" 3962 -480 -1400 600
"120" 2639 -440 -1480 400
"121" 2959 -440 -1440 400
"122" 3500 -440 -1400 600
"123" 2902 -440 -1360 600
"124" 1314 -440 -1320 600
"125" 1196 -400 -2200 300
"126" 2005 -400 -2000 300
"127" 2410 -400 -1800 300
"128" 2809 -400 -1600 300
"129" 3461 -400 -1480 400
"130" 4318 -400 -1440 400
"131" 3824 -400 -1400 900
"132" 4071 -400 -1360 600
"133" 4376 -400 -1320 600
"134" 2827 -360 -1480 400
"135" 1677 -360 -1440 400
"136" 3701 -360 -1400 600
"137" 3021 -360 -1360 600
"138" 4156 -360 -1320 600
"139" 3153 -320 -1480 400
"140" 3281 -320 -1440 400
"141" 2935 -320 -1400 600
"142" 3026 -320 -1360 600
"143" 3612 -320 -1320 600
"144" 948 -250 -2000 300
"145" 1314 -220 -1800 300
"146" 788 -220 -1600 300
"147" 1323 -200 -1400 300
"148" 1948 -200 -1200 300
"149" 2446 -200 -1000 300
"150" 2481 -200 -800 300
"151" 21386 -200 -600 1800
"152" 17168 -200 -400 1800
"153" 5905 -200 -200 1240
"154" 12278 -200 0 1800
"155" 1248 -70 -800 300
"156" 1074 -50 -600 200
"157" 1205 -50 -400 200
